Sum of Female(Individuals Vaccinated),Sum of First Dose Administered,Sum of Male(Individuals Vaccinated),Sum of Second Dose Administered,State,Sum of Total Covaxin Administered,Sum of Total CoviShield Administered,Sum of Total Doses Administered,Sum of Total Individuals Registered,Sum of Total Individuals Vaccinated,Sum of Total Sessions Conducted,Sum of Total Sites ,Sum of Transgender(Individuals Vaccinated),Updated On
28187,88814,60625,43386,Manipur,0,132200,132200,88814,88814,3400,32,2,10/04/2021
8644,14562,5917,0,Manipur,0,14562,14562,112068,14562,383,136,1,11/02/2021
23403,67783,44378,8158,Manipur,75,67708,75941,133763,67783,2246,217,2,11/03/2021
28617,90439,61820,43957,Manipur,0,134396,134396,90439,90439,11959,106,2,11/04/2021
10928,17996,7067,0,Manipur,3,17993,17996,113988,17996,445,147,1,12/02/2021
23612,69175,45561,9593,Manipur,77,69098,78768,134495,69175,2317,217,2,12/03/2021
29269,92519,63247,45161,Manipur,0,137680,137680,92519,92519,12580,117,3,12/04/2021
12855,20811,7955,55,Manipur,4,20807,20866,116080,20811,478,153,1,13/02/2021
23780,69802,46020,10042,Manipur,79,69723,79844,134909,69802,2349,217,2,13/03/2021
29920,94163,64239,45802,Manipur,0,139965,139965,94163,94163,12900,119,4,13/04/2021
13246,21284,8037,169,Manipur,4,21280,21453,117116,21284,534,157,1,14/02/2021
30778,96373,65590,46499,Manipur,0,142872,142872,96373,96373,12050,115,5,14/04/2021
14874,24144,9269,284,Manipur,4,24140,24428,118473,24144,593,161,1,15/02/2021
23975,71134,47157,11860,Manipur,80,71054,82994,135583,71134,2546,218,2,15/03/2021
31280,97755,66470,47694,Manipur,0,145449,145449,97755,97755,11750,110,5,15/04/2021
69,181,112,0,Manipur,0,181,181,57599,181,10,10,0,16/01/2021
16464,27091,10626,415,Manipur,8,27083,27506,120747,27091,682,173,1,16/02/2021
24182,71944,47760,13076,Manipur,80,71864,85020,136048,71944,2671,219,2,16/03/2021
32119,99881,67757,48705,Manipur,0,148586,148586,99881,99881,13000,121,5,16/04/2021
76,192,116,0,Manipur,0,192,192,62025,192,19,12,0,17/01/2021
18854,30988,12133,673,Manipur,9,30979,31661,123840,30988,759,176,1,17/02/2021
24568,73138,48567,14878,Manipur,81,73057,88016,136760,73138,2781,220,3,17/03/2021
32896,102116,69215,50010,Manipur,0,152126,152126,102116,102116,11700,110,5,17/04/2021
73,169,96,0,Manipur,0,169,169,72196,169,40,15,0,18/01/2021
20049,33302,13252,801,Manipur,19,33283,34103,121766,33302,834,177,1,18/02/2021
24635,73787,49149,15968,Manipur,82,73705,89755,137074,73787,2929,220,3,18/03/2021
33181,102983,69797,50121,Manipur,0,153104,153104,102983,102983,8690,80,5,18/04/2021
104,267,163,0,Manipur,0,267,267,77819,267,58,16,0,19/01/2021
21279,36102,14822,1108,Manipur,28,36074,37210,126871,36102,906,179,1,19/02/2021
24823,74627,49801,17735,Manipur,86,74541,92362,137514,74627,3050,221,3,19/03/2021
34626,106513,71882,51199,Manipur,0,157712,157712,106513,106513,12290,118,5,19/04/2021
180,426,246,0,Manipur,0,426,426,82613,426,61,16,0,20/01/2021
21615,37523,15907,1354,Manipur,29,37494,38877,126874,37523,935,182,1,20/02/2021
25150,75596,50443,19628,Manipur,87,75509,95224,138127,75596,3117,221,3,20/03/2021
36068,109878,73805,52226,Manipur,0,162104,162104,109878,109878,11400,108,5,20/04/2021
180,426,246,0,Manipur,0,426,426,82793,426,73,17,0,21/01/2021
21798,37813,16014,1366,Manipur,29,37784,39179,126914,37813,964,184,1,21/02/2021
25206,75794,50585,19783,Manipur,87,75707,95577,138232,75794,3174,222,3,21/03/2021
38069,114345,76271,53174,Manipur,0,167519,167519,114345,114345,12150,114,5,21/04/2021
313,693,380,0,Manipur,0,693,693,83551,693,81,19,0,22/01/2021
25487,76701,51211,21688,Manipur,89,76612,98389,138832,76701,3286,222,3,22/03/2021
39438,117450,78007,54290,Manipur,0,171740,171740,117450,117450,11000,103,5,22/04/2021
535,1097,562,0,Manipur,0,1097,1097,84623,1097,83,19,0,23/01/2021
25651,77827,52173,23341,Manipur,89,77738,101168,139412,77827,3417,222,3,23/03/2021
40089,119440,79346,54809,Manipur,0,174249,174249,119440,119440,8800,84,5,23/04/2021
540,1109,569,0,Manipur,0,1109,1109,85041,1109,83,19,0,24/01/2021
25956,78852,52893,25100,Manipur,89,78763,103952,140060,78852,3545,222,3,24/03/2021
42183,124435,82247,55765,Manipur,0,180200,180200,124435,124435,10890,97,5,24/04/2021
649,1319,670,0,Manipur,0,1319,1319,86877,1319,83,19,0,25/01/2021
26122,79530,53405,26578,Manipur,90,79440,106108,140393,79530,3650,222,3,25/03/2021
43160,126565,83400,55981,Manipur,0,182546,182546,126565,126565,3600,34,5,25/04/2021
651,1328,677,0,Manipur,0,1328,1328,86920,1328,89,19,0,26/01/2021
26446,80549,54100,28440,Manipur,92,80457,108989,141014,80549,3753,223,3,26/03/2021
46963,134935,87966,57217,Manipur,0,192152,192152,134935,134935,11250,104,6,26/04/2021
996,1873,877,0,Manipur,0,1873,1873,87225,1873,95,19,0,27/01/2021
26713,81431,54715,29753,Manipur,92,81339,111184,141573,81431,3818,224,3,27/03/2021
50606,142612,91999,58062,Manipur,0,200674,200674,142612,142612,10200,93,7,27/04/2021
1016,1909,893,0,Manipur,0,1909,1909,87310,1909,101,21,0,28/01/2021
22094,48312,26217,2253,Manipur,39,48273,50565,126992,48312,1171,197,1,28/02/2021
26713,81454,54738,29851,Manipur,92,81362,111305,141577,81454,3825,224,3,28/03/2021
1281,2394,1113,0,Manipur,0,2394,2394,87926,2394,108,22,0,29/01/2021
1539,2933,1394,0,Manipur,0,2933,2933,88538,2933,110,23,0,30/01/2021
26766,81950,55181,30318,Manipur,93,81857,112268,141867,81950,3874,224,3,30/03/2021
1547,2947,1400,0,Manipur,0,2947,2947,89051,2947,113,23,0,31/01/2021
26819,82317,55495,30979,Manipur,96,82221,113296,142126,82317,3900,224,3,31/03/2021
2170,3317,1147,0,Meghalaya,0,3317,3317,51834,3317,144,53,0,01/02/2021
37583,84742,47151,34118,Meghalaya,196,84546,118860,115959,84742,10053,467,8,01/04/2021
2243,3451,1208,0,Meghalaya,0,3451,3451,51979,3451,149,55,0,02/02/2021
17489,42313,24820,4022,Meghalaya,147,42166,46335,76471,42313,2178,245,4,02/03/2021
37914,85308,47386,34275,Meghalaya,198,85110,119583,116410,85308,10159,487,8,02/04/2021
2312,3565,1253,0,Meghalaya,0,3565,3565,52307,3565,172,67,0,03/02/2021
17999,43856,25853,4247,Meghalaya,147,43709,48103,77759,43856,3094,245,4,03/03/2021
38387,86257,47862,34539,Meghalaya,210,86047,120796,117356,86257,10183,489,8,03/04/2021
2753,4216,1463,0,Meghalaya,0,4216,4216,52637,4216,198,86,0,04/02/2021
18691,45315,26619,4591,Meghalaya,147,45168,49906,79097,45315,3418,248,5,04/03/2021
38825,85528,46695,32923,Meghalaya,0,118451,118451,85528,85528,4300,42,8,04/04/2021
3241,4933,1692,0,Meghalaya,0,4933,4933,52851,4933,211,95,0,05/02/2021
19205,46494,27284,5200,Meghalaya,149,46345,51694,80111,46494,3473,249,5,05/03/2021
39795,87294,47491,33631,Meghalaya,0,120925,120925,87294,87294,21350,201,8,05/04/2021
3785,5585,1800,0,Meghalaya,0,5585,5585,53501,5585,222,103,0,06/02/2021
19501,47342,27836,5508,Meghalaya,153,47189,52850,80739,47342,3542,249,5,06/03/2021
40586,88683,48089,34221,Meghalaya,0,122904,122904,88683,88683,22270,206,8,06/04/2021
3785,5585,1800,0,Meghalaya,0,5585,5585,53877,5585,251,117,0,07/02/2021
43317,93455,50130,35657,Meghalaya,0,129112,129112,93455,93455,19950,190,8,07/04/2021
4337,6394,2054,0,Meghalaya,0,6394,6394,54182,6394,293,127,3,08/02/2021
20400,49452,29047,6249,Meghalaya,158,49294,55701,82650,49452,4058,292,5,08/03/2021
45969,98204,52226,36985,Meghalaya,0,135189,135189,98204,98204,23020,212,9,08/04/2021
5338,7806,2465,0,Meghalaya,0,7806,7806,54952,7806,317,139,3,09/02/2021
21359,51314,29950,7144,Meghalaya,161,51153,58458,84380,51314,4690,304,5,09/03/2021
47608,101170,53553,37957,Meghalaya,0,139127,139127,101170,101170,19650,187,9,09/04/2021
5863,8557,2691,0,Meghalaya,0,8557,8557,56073,8557,359,152,3,10/02/2021
22233,52966,30728,7976,Meghalaya,161,52805,60942,85891,52966,5286,311,5,10/03/2021
48585,103084,54490,38242,Meghalaya,0,141326,141326,103084,103084,10100,92,9,10/04/2021
7171,10420,3246,0,Meghalaya,0,10420,10420,57029,10420,386,160,3,11/02/2021
23425,55125,31694,9141,Meghalaya,165,54960,64266,87951,55125,5434,316,6,11/03/2021
49051,104057,54997,38388,Meghalaya,0,142445,142445,104057,104057,8350,73,9,11/04/2021
7739,11614,3872,0,Meghalaya,3,11611,11614,57777,11614,410,168,3,12/02/2021
24055,56575,32514,10146,Meghalaya,166,56409,66721,89314,56575,5845,320,6,12/03/2021
50814,107560,56737,39038,Meghalaya,0,146598,146598,107560,107560,21250,190,9,12/04/2021
8526,12905,4375,91,Meghalaya,3,12902,12996,58654,12905,433,172,4,13/02/2021
24493,57654,33155,10974,Meghalaya,167,57487,68628,90317,57654,6015,325,6,13/03/2021
53468,112619,59142,40206,Meghalaya,0,152825,152825,112619,112619,31150,278,9,13/04/2021
8526,12906,4376,91,Meghalaya,4,12902,12997,58720,12906,503,187,4,14/02/2021
24499,57660,33155,10978,Meghalaya,167,57493,68638,90321,57660,6205,330,6,14/03/2021
55435,116428,60984,41065,Meghalaya,0,157493,157493,116428,116428,29900,278,9,14/04/2021
9477,15019,5538,251,Meghalaya,5,15014,15270,60910,15019,576,194,4,15/02/2021
25320,59513,34187,12222,Meghalaya,167,59346,71735,92101,59513,6360,331,6,15/03/2021
57821,120703,62871,42539,Meghalaya,0,163242,163242,120703,120703,33900,282,11,15/04/2021
79,102,23,0,Meghalaya,0,102,102,45503,102,12,10,0,16/01/2021
10678,17479,6797,490,Meghalaya,5,17474,17969,63801,17479,689,204,4,16/02/2021
26350,61696,35340,14181,Meghalaya,169,61527,75877,94125,61696,6494,332,6,16/03/2021
59715,124078,64352,43455,Meghalaya,0,167533,167533,124078,124078,26150,220,11,16/04/2021
79,102,23,0,Meghalaya,0,102,102,45603,102,12,10,0,17/01/2021
12614,21153,8535,811,Meghalaya,5,21148,21964,70008,21153,784,213,4,17/02/2021
27219,63468,36243,15956,Meghalaya,169,63299,79424,95816,63468,6612,334,6,17/03/2021
60542,125525,64971,43950,Meghalaya,0,169475,169475,125525,125525,11550,101,12,17/04/2021
44,58,14,0,Meghalaya,0,58,58,41178,58,44,13,0,18/01/2021
13413,23995,10578,1236,Meghalaya,6,23989,25231,65381,23995,904,220,4,18/02/2021
28107,65428,37315,18226,Meghalaya,173,65255,83654,97673,65428,6764,338,6,18/03/2021
60587,125611,65012,43967,Meghalaya,0,169578,169578,125611,125611,9200,91,12,18/04/2021
127,170,43,0,Meghalaya,0,170,170,44141,170,53,17,0,19/01/2021
14917,27429,12508,1599,Meghalaya,9,27420,29028,76366,27429,1012,227,4,19/02/2021
28869,67130,38255,20350,Meghalaya,173,66957,87480,99205,67130,7154,340,6,19/03/2021
62612,129164,66540,45558,Meghalaya,0,174722,174722,129164,129164,27000,256,12,19/04/2021
137,189,52,0,Meghalaya,0,189,189,44658,189,66,21,0,20/01/2021
15315,29428,14109,1683,Meghalaya,49,29379,31111,76888,29428,1058,232,4,20/02/2021
29153,67944,38784,21510,Meghalaya,174,67770,89454,99898,67944,7303,345,7,20/03/2021
65059,133716,68644,46932,Meghalaya,0,180648,180648,133716,133716,29000,260,13,20/04/2021
246,380,134,0,Meghalaya,0,380,380,46500,380,85,25,0,21/01/2021
15339,29459,14116,1683,Meghalaya,49,29410,31142,76963,29459,1162,237,4,21/02/2021
29173,67981,38801,21530,Meghalaya,174,67807,89511,99930,67981,7600,349,7,21/03/2021
66986,137342,70343,47887,Meghalaya,0,185229,185229,137342,137342,28000,259,13,21/04/2021
346,525,179,0,Meghalaya,0,525,525,47769,525,90,28,0,22/01/2021
15645,31976,16327,2080,Meghalaya,101,31875,34056,77002,31976,1244,239,4,22/02/2021
29989,69789,39793,23744,Meghalaya,176,69613,93533,101647,69789,8040,355,7,22/03/2021
70905,144721,73803,49787,Meghalaya,0,194508,194508,144721,144721,37050,316,13,22/04/2021
490,709,219,0,Meghalaya,0,709,709,48995,709,93,30,0,23/01/2021
31085,72103,41011,26588,Meghalaya,180,71923,98691,103793,72103,8230,374,7,23/03/2021
74479,151994,77501,51229,Meghalaya,0,203223,203223,151994,151994,35250,279,14,23/04/2021
493,713,220,0,Meghalaya,0,713,713,49920,713,98,32,0,24/01/2021
16225,36656,20427,2472,Meghalaya,131,36525,39128,77008,36656,1486,243,4,24/02/2021
31821,73671,41843,28176,Meghalaya,181,73490,101847,105265,73671,8350,385,7,24/03/2021
77418,157665,80233,51857,Meghalaya,0,209522,209522,157665,157665,35430,212,14,24/04/2021
840,1249,409,0,Meghalaya,0,1249,1249,50424,1249,100,32,0,25/01/2021
32960,76127,43160,30375,Meghalaya,181,75946,106502,107563,76127,8520,392,7,25/03/2021
77627,158278,80637,51894,Meghalaya,0,210172,210172,158278,158278,6100,48,14,25/04/2021
845,1256,411,0,Meghalaya,0,1256,1256,50591,1256,110,38,0,26/01/2021
16870,40214,23340,3606,Meghalaya,147,40067,43820,74773,40214,1609,245,4,26/02/2021
33712,77621,43901,31320,Meghalaya,182,77439,108941,108970,77621,8646,399,8,26/03/2021
84369,171659,87275,53679,Meghalaya,0,225338,225338,171659,171659,57600,421,15,26/04/2021
1357,1964,607,0,Meghalaya,0,1964,1964,50807,1964,126,44,0,27/01/2021
33955,78104,44141,31510,Meghalaya,182,77922,109614,109394,78104,8733,401,8,27/03/2021
92508,187409,94885,55163,Meghalaya,0,242572,242572,187409,187409,69390,493,16,27/04/2021
1761,2609,848,0,Meghalaya,0,2609,2609,51157,2609,133,47,0,28/01/2021
33958,78116,44150,31512,Meghalaya,182,77934,109628,109406,78116,8885,409,8,28/03/2021
1973,2925,952,0,Meghalaya,0,2925,2925,51376,2925,136,50,0,29/01/2021
34593,79195,44594,31764,Meghalaya,182,79013,110959,110470,79195,8945,411,8,29/03/2021
2034,3070,1036,0,Meghalaya,0,3070,3070,51593,3070,137,50,0,30/01/2021
35410,80759,45341,32741,Meghalaya,182,80577,113500,111976,80759,9181,423,8,30/03/2021
2039,3076,1037,0,Meghalaya,0,3076,3076,51705,3076,140,52,0,31/01/2021
35966,81801,45827,33346,Meghalaya,195,81606,115147,112976,81801,9685,446,8,31/03/2021
5995,8462,2467,0,Mizoram,0,8462,8462,39420,8462,285,121,0,01/02/2021
22889,56798,33907,14830,Mizoram,24,56774,71628,76397,56798,1799,309,2,01/04/2021
5995,8462,2467,0,Mizoram,0,8462,8462,39445,8462,287,123,0,02/02/2021
10238,25609,15371,7795,Mizoram,6,25603,33404,46630,25609,973,255,0,02/03/2021
22970,56956,33984,14892,Mizoram,26,56930,71848,76508,56956,1804,309,2,02/04/2021
6047,8525,2478,0,Mizoram,0,8525,8525,39447,8525,287,123,0,03/02/2021
11322,28887,17565,8889,Mizoram,6,28881,37776,49704,28887,1080,258,0,03/03/2021
22973,57022,34047,14930,Mizoram,30,56992,71952,76564,57022,1816,309,2,03/04/2021
6087,8583,2496,0,Mizoram,0,8583,8583,39476,8583,303,126,0,04/02/2021
12381,31897,19516,9052,Mizoram,9,31888,40949,52146,31897,1149,262,0,04/03/2021
22948,56489,33539,14615,Mizoram,0,71104,71104,56489,56489,2400,19,2,04/04/2021
6447,9110,2663,0,Mizoram,0,9110,9110,39650,9110,318,127,0,05/02/2021
12681,32860,20179,9113,Mizoram,10,32850,41973,52840,32860,1185,265,0,05/03/2021
23443,57385,33940,15536,Mizoram,0,72921,72921,57385,57385,7620,41,2,05/04/2021
6713,9470,2757,0,Mizoram,1,9469,9470,40026,9470,318,127,0,06/02/2021
12957,34027,21069,9175,Mizoram,10,34017,43202,53897,34027,1224,268,1,06/03/2021
24032,58483,34449,16209,Mizoram,0,74692,74692,58483,58483,11450,46,2,06/04/2021
6715,9476,2761,0,Mizoram,1,9475,9476,40324,9476,318,127,0,07/02/2021
12985,34115,21129,9180,Mizoram,10,34105,43295,53978,34115,1248,270,1,07/03/2021
26755,63319,36562,18076,Mizoram,0,81395,81395,63319,63319,6500,30,2,07/04/2021
6727,9492,2765,0,Mizoram,1,9491,9492,40329,9492,322,128,0,08/02/2021
28993,67481,38486,19506,Mizoram,0,86987,86987,67481,67481,6800,29,2,08/04/2021
6774,9603,2829,0,Mizoram,1,9602,9603,40452,9603,325,130,0,09/02/2021
14938,38450,23511,9366,Mizoram,13,38437,47816,58384,38450,1375,285,1,09/03/2021
31153,71502,40347,21136,Mizoram,0,92638,92638,71502,71502,10850,39,2,09/04/2021
6809,9642,2833,0,Mizoram,1,9641,9642,40541,9642,330,131,0,10/02/2021
16599,42160,25560,9780,Mizoram,13,42147,51940,62141,42160,1433,289,1,10/03/2021
32290,73602,41310,21583,Mizoram,0,95185,95185,73602,73602,4100,19,2,10/04/2021
6809,9642,2833,0,Mizoram,1,9641,9642,40542,9642,339,136,0,11/02/2021
17511,44023,26511,9974,Mizoram,13,44010,53997,63884,44023,1455,290,1,11/03/2021
32438,73831,41391,21975,Mizoram,0,95806,95806,73831,73831,2270,11,2,11/04/2021
6889,9941,3052,0,Mizoram,1,9940,9941,41000,9941,359,142,0,12/02/2021
18079,45256,27176,10037,Mizoram,13,45243,55293,65052,45256,1466,291,1,12/03/2021
36171,80821,44647,23864,Mizoram,0,104685,104685,80821,80821,13550,54,3,12/04/2021
6975,10179,3204,75,Mizoram,1,10178,10254,41122,10179,371,146,0,13/02/2021
18340,45753,27412,10114,Mizoram,13,45740,55867,65536,45753,1476,292,1,13/03/2021
39598,87233,47632,25745,Mizoram,0,112978,112978,87233,87233,11450,51,3,13/04/2021
6975,10365,3390,75,Mizoram,1,10364,10440,41130,10365,374,146,0,14/02/2021
18364,45795,27430,10182,Mizoram,13,45782,55977,65597,45795,1504,294,1,14/03/2021
43613,94676,51060,28385,Mizoram,0,123061,123061,94676,94676,11200,50,3,14/04/2021
7174,11167,3993,227,Mizoram,2,11165,11394,41643,11167,383,148,0,15/02/2021
19201,47411,28209,10570,Mizoram,13,47398,57981,67174,47411,1530,296,1,15/03/2021
49384,105054,55665,30301,Mizoram,0,135355,135355,105054,105054,12850,54,5,15/04/2021
68,105,37,0,Mizoram,0,105,105,10515,105,6,5,0,16/01/2021
7174,11175,4001,227,Mizoram,2,11173,11402,41645,11175,412,155,0,16/02/2021
20520,50024,29503,10688,Mizoram,14,50010,60712,69758,50024,1547,296,1,16/03/2021
56195,117031,60831,31042,Mizoram,0,148073,148073,117031,117031,12920,53,5,16/04/2021
68,105,37,0,Mizoram,0,105,105,11310,105,11,6,0,17/01/2021
7516,12174,4658,581,Mizoram,2,12172,12755,42793,12174,450,157,0,17/02/2021
20943,50880,29936,10873,Mizoram,14,50866,61753,70589,50880,1568,297,1,17/03/2021
59177,122168,62986,31688,Mizoram,0,153856,153856,122168,122168,5900,27,5,17/04/2021
64,98,34,0,Mizoram,0,98,98,10920,98,38,9,0,18/01/2021
7609,12914,5305,1391,Mizoram,4,12910,14305,42330,12914,484,160,0,18/02/2021
21174,51502,30327,11370,Mizoram,14,51488,62872,71204,51502,1601,297,1,18/03/2021
59280,122419,63134,31764,Mizoram,0,154183,154183,122419,122419,450,4,5,18/04/2021
157,259,102,0,Mizoram,0,259,259,12750,259,58,13,0,19/01/2021
8199,14481,6282,2191,Mizoram,4,14477,16672,43351,14481,504,172,0,19/02/2021
21307,51947,30639,11927,Mizoram,14,51933,63874,71636,51947,1617,297,1,19/03/2021
64362,131756,67388,33045,Mizoram,0,164801,164801,131756,131756,13650,59,6,19/04/2021
170,291,121,0,Mizoram,0,291,291,12856,291,81,22,0,20/01/2021
21533,52492,30958,12131,Mizoram,15,52477,64623,72180,52492,1623,297,1,20/03/2021
68547,139758,71205,34605,Mizoram,0,174363,174363,139758,139758,19650,57,6,20/04/2021
404,632,228,0,Mizoram,0,632,632,18008,632,123,45,0,21/01/2021
21534,52497,30962,12134,Mizoram,15,52482,64631,72185,52497,1629,297,1,21/03/2021
70818,144492,73668,36298,Mizoram,0,180790,180790,144492,144492,16200,49,6,21/04/2021
1033,1494,461,0,Mizoram,0,1494,1494,18567,1494,136,51,0,22/01/2021
21612,52967,31354,12441,Mizoram,15,52952,65408,72626,52967,1656,298,1,22/03/2021
76883,156035,79146,38027,Mizoram,0,194062,194062,156035,156035,20720,65,6,22/04/2021
1326,1870,544,0,Mizoram,0,1870,1870,23839,1870,140,51,0,23/01/2021
21787,53593,31805,12861,Mizoram,16,53577,66454,73232,53593,1669,301,1,23/03/2021
82491,166665,84167,39512,Mizoram,0,206177,206177,166665,166665,17500,56,7,23/04/2021
1372,1945,573,0,Mizoram,0,1945,1945,31704,1945,160,58,0,24/01/2021
21879,53901,32021,12987,Mizoram,17,53884,66888,73536,53901,1688,303,1,24/03/2021
84563,170765,86195,40345,Mizoram,0,211110,211110,170765,170765,8040,29,7,24/04/2021
2127,3087,960,0,Mizoram,0,3087,3087,36936,3087,172,61,0,25/01/2021
22101,54583,32481,13153,Mizoram,18,54565,67736,74208,54583,1710,305,1,25/03/2021
84610,170856,86239,40364,Mizoram,0,211220,211220,170856,170856,550,4,7,25/04/2021
2148,3115,967,0,Mizoram,0,3115,3115,37037,3115,192,73,0,26/01/2021
22360,55431,33069,13574,Mizoram,18,55413,69005,75071,55431,1714,305,2,26/03/2021
90006,181115,91102,42282,Mizoram,0,223397,223397,181115,181115,16362,57,7,26/04/2021
3270,4782,1512,0,Mizoram,0,4782,4782,37707,4782,221,97,0,27/01/2021
22384,55497,33111,13591,Mizoram,18,55479,69088,75098,55497,1716,305,2,27/03/2021
